Population	Species	Date	Month	Subpopulation	Quadrat	Cauloid_size (cm)	Fertility (0-4)	Leaf_size (cm)	Comments
PdS	reclutes	5/5/2021	May	Lateral terra de N a S		0.3			
PdS	reclutes	5/5/2021	May	Lateral terra de N a S		0.1			
PdS	reclutes	5/5/2021	May	Lateral terra de N a S		0.5			
PdS	reclutes	5/5/2021	May	Lateral terra de N a S		0.5			
PdS	reclutes	5/5/2021	May	Lateral terra de N a S		0.5			
PdS	reclutes	5/5/2021	May	"Extrem sud, cubeta sud"		0.5			
PdS	reclutes	5/5/2021	May	"Extrem sud, cubeta sud"		0.5			
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		10	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		8	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		5	2		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		9	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		10	2		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		7	4		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		4	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		6	1		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		8	2		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		6	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		4	2		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		6	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		6	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		6	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		9	1		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		6	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		7	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		6	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		4	4		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		7	2		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		7	2		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		5	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		6	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		7	2		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		9	2		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		3	1		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		6	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		6	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		6	4		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		10	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		8	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		7	2		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		5	4		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		12	2		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		6	2		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		5	1		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		10	1		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		8	1		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		9			
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		6			
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		10	2		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		5	1		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		12	2		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		7	2		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		10	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		11	2		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		8	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		7	2		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		10	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		8	3		
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		9			
PdS	Cystoseira crinita	6/1/2021	June	Cubeta nord		7	2		
PdS	Cystoseira crinita	6/1/2021	June	Lateral terra de S a N		1			
PdS	Cystoseira crinita	6/1/2021	June	Lateral terra de S a N		5			
PdS	Cystoseira crinita	6/1/2021	June	Lateral terra de S a N		3			
PdS	Cystoseira crinita	6/1/2021	June	Lateral terra de S a N		1			
PdS	Cystoseira crinita	6/1/2021	June	Lateral terra de S a N		3	2		
PdS	Cystoseira crinita	6/1/2021	June	Lateral terra de S a N		2			
PdS	Cystoseira crinita	6/1/2021	June	Lateral terra de S a N		5			
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		6	2		
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		6	1		
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		10	1		
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		5			
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		2			
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		6	3		
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		8	2		
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		2	2		
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		5	1		
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		6	1		
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		6			
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		5	1		
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		3			
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		6	4		
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		7	2		
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		6	3		
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		4	2		
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		3			
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		2			
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		4	2		
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		3	1		
PdS	Cystoseira crinita	6/1/2021	June	Lateral mar de N a S		2			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		6	2		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		4			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		2			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		4			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		5	3		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		5			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		4	2		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		3			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		3			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		3			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		6	1		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		3			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		2			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		4	1		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		1			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		2			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		4			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		4	1		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		4	2		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		4	2		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		3	1		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		3			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		3			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		3			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		6			
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		2	3		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		5	3		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		7	2		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		9	1		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		10	2		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		10	2		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem Nord, cubeta sud"		3	1		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		5	3		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		6	3		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		4	2		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		2	1		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		4	1		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		2	1		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		2	1		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		6	2		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		6	3		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		9	2		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		6	1		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		4	1		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		5	2		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		11	3		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		7	1		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		8	2		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		10	2		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		7	2		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		7	3		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		5	3		
PdS	Cystoseira crinita	6/1/2021	June	"Extrem sud, cubeta sud"		6	3		
PdS	Cystoseira elegans	6/1/2021	June	Cubeta nord		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		1.5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		6			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		6			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		3	1		
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		6	1		
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		1			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		5	1		
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		2	2		
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		0.1			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		0.1			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N					
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		0.5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		0.5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral terra de S a N		0.5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		0.5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		2	1		
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		0.5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		0.5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		6			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		6			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		0.5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		1			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		1			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		1			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		1			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		1			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		7			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		2			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		5.5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		1			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		3			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		4			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		0.5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		0.5			
PdS	Cystoseira elegans	6/1/2021	June	Lateral mar de N a S		0.5			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		3			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		4			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		3			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		1	1		
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		4			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		3			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		4			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		2			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		2			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		3			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		4			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		5			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		2			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		3	1		
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		3			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		3	3		
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		4			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		3			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		4			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		4			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		2			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem Nord, cubeta sud"		5			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		2			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		4			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		4			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		5	1		
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		5			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		3			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		4			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		2			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		2			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		5	2		
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		3			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		2			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		4			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		3			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		3			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		4			
PdS	Cystoseira elegans	6/1/2021	June	"Extrem sud, cubeta sud"		4			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		6			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		10			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		10			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		11	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		19	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		7			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		9	1		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		10	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		7	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		8	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		10	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		15	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		13	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		11	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		8	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		11	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		9	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		7	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		7	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		6	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		10	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		9	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		10	1		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		9	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		5	4		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		8	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		1			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		1			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		1			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		12	4		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		7			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		4			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		10			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		12	1		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		13	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		2			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		3			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		3			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		1			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		7			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		7			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		8	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		10	1		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		1			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		7	1		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		10	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		8	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		7	1		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		9			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		10	4		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		6			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		7	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		8	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		12	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		9	1		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		13	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		9			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		10	4		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		12	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		14	4		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		8	4		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		12	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		7	1		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		7			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		8	1		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		8			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		4			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		9	1		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		7	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		8	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		11	3		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		7	4		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		6	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		11	2		
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		7			
PdS	Cystoseira crinita	7/21/2021	July	Cubeta nord		9			
PdS	Cystoseira crinita	7/21/2021	July	Lateral terra de N a S		4	1		
